epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.5978,3.46578,45.6017,4.03581,0.001,0.27273,0.00115,0.00014,3.30947,47.2861,3.28902,0.0003975,0.0003975,0.0003975
2,118.671,3.13782,35.7304,3.57869,0.00042,0.11364,0.00029,3e-05,4.30894,43.7301,4.52604,0.000792237,0.000792237,0.000792237
3,172.636,3.00537,30.4836,3.44104,0.00158,0.43182,0.00143,0.00029,3.44524,33.9815,3.2982,0.00118169,0.00118169,0.00118169
4,226.797,3.07442,25.4247,3.34942,0.00158,0.43182,0.00225,0.00039,3.48557,20.7955,3.4076,0.00156587,0.00156587,0.00156587
5,280.81,3.10336,23.0012,3.24451,0.0015,0.40909,0.00392,0.00058,3.53634,17.4339,3.61066,0.00194477,0.00194477,0.00194477
6,334.897,2.90273,18.3336,3.28359,0.00158,0.43182,0.00371,0.00071,3.71644,14.8913,3.56254,0.001934,0.001934,0.001934
7,389.149,2.86945,17.5169,3.09679,0.00133,0.36364,0.02626,0.00371,3.68521,9.02189,3.68055,0.0019208,0.0019208,0.0019208
8,442.94,2.91781,14.8412,3.11092,0.00125,0.34091,0.03772,0.00464,3.34796,7.6447,3.29681,0.0019076,0.0019076,0.0019076
9,496.331,2.86803,12.6301,3.04702,0.00142,0.38636,0.02884,0.00385,3.2874,7.35731,3.12398,0.0018944,0.0018944,0.0018944
10,550.511,2.67494,12.9362,2.8948,0.00142,0.38636,0.01188,0.00151,3.52378,7.14423,3.13808,0.0018812,0.0018812,0.0018812
11,604.385,2.82575,10.0184,2.99842,0,0,0,0,4.49715,9.69721,5.03754,0.001868,0.001868,0.001868
12,658.568,2.79856,9.57737,2.92578,0.00025,0.06818,0.00025,3e-05,nan,nan,nan,0.0018548,0.0018548,0.0018548
13,712.814,2.60789,9.41256,2.7406,0.00033,0.09091,0.00019,0.0001,4.34765,11.6579,5.60152,0.0018416,0.0018416,0.0018416
14,767.311,2.81219,7.80164,2.89345,0.00058,0.15909,0.00162,0.00026,4.38697,5.02376,3.27939,0.0018284,0.0018284,0.0018284
15,821.591,2.7568,7.22126,2.93619,0.00133,0.36364,0.01471,0.00273,3.92987,3.66661,3.36076,0.0018152,0.0018152,0.0018152
16,875.925,2.66852,6.5164,2.88744,0.1275,0.11364,0.05381,0.02005,4.03331,3.51039,4.0441,0.001802,0.001802,0.001802
17,930.254,2.68829,6.38082,2.82679,0.19799,0.06818,0.0364,0.00734,4.86993,6.45193,10.7618,0.0017888,0.0017888,0.0017888
18,984.144,2.78597,6.05287,2.83055,0.24412,0.06818,0.03535,0.00823,3.93567,3.12262,3.32937,0.0017756,0.0017756,0.0017756
19,1038.11,2.78276,5.86794,2.83463,0.10756,0.02273,0.01524,0.00613,4.76434,3.80758,3.55003,0.0017624,0.0017624,0.0017624
20,1092.38,2.73099,5.21812,2.78835,0.10532,0.04545,0.0189,0.00733,4.48271,3.4602,3.53948,0.0017492,0.0017492,0.0017492
21,1146.55,2.81942,5.05715,2.86421,0.54196,0.05499,0.04132,0.00951,4.16896,3.04791,3.36058,0.001736,0.001736,0.001736
22,1200.31,2.7141,5.11819,2.75123,0.29983,0.04545,0.02596,0.0081,4.24,2.84637,3.17196,0.0017228,0.0017228,0.0017228
23,1254.55,2.74981,4.7962,2.7843,0.00395,0.06818,0.0008,0.00024,5.02117,4.02668,5.75788,0.0017096,0.0017096,0.0017096
24,1309.27,2.57659,4.63124,2.60798,0.00224,0.04545,0.00073,0.00019,4.68498,6.2002,4.16686,0.0016964,0.0016964,0.0016964
25,1363.43,2.62068,4.45313,2.62993,0.05493,0.09091,0.02203,0.00591,4.07177,3.27159,4.3239,0.0016832,0.0016832,0.0016832
26,1417.85,2.62662,4.44776,2.66197,0.09316,0.27273,0.05559,0.01076,3.76592,2.82317,3.29358,0.00167,0.00167,0.00167
