epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.2379,3.45218,229.071,4.07435,0.001,0.27273,0.00241,0.00029,3.27272,46.8824,3.30114,0.0006625,0.0006625,0.0006625
2,122.259,3.32223,39.6839,3.62433,0.00017,0.04545,9e-05,1e-05,4.86245,45.8632,5.09109,0.0013182,0.0013182,0.0013182
3,176.816,3.24398,32.694,3.56549,0.00017,0.04545,9e-05,1e-05,4.17359,38.5549,5.34971,0.0019629,0.0019629,0.0019629
4,232.443,3.33171,27.8933,3.51008,0,0,0,0,3.91651,18.2184,3.4745,0.0019505,0.0019505,0.0019505
