epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.0338,3.49303,8.57754,3.61292,0.20417,0.22727,0.11598,0.01611,4.2887,3.64135,4.38176,0.0006625,0.0006625,0.0675375
2,136.652,3.28328,4.85781,3.29612,0,0,0,0,5.47262,7.10876,8.89783,0.00132039,0.00132039,0.0348621
3,203.904,3.35033,4.59705,3.25982,0.00194,0.47727,0.00172,0.00025,4.21498,53.35,3.53758,0.00196949,0.00196949,0.00217782
4,270.898,3.28129,4.17841,3.17519,0.06359,0.18182,0.02298,0.00417,4.26396,5.89724,3.64265,0.0019604,0.0019604,0.0019604
