epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.894,3.43257,46.5002,4.03649,0.00175,0.45455,0.01128,0.00214,2.84232,84.6727,3.28825,0.0003975,0.0003975,0.0003975
2,137.077,3.08174,37.0284,3.6043,0.00017,0.04545,0.00014,2e-05,4.5384,74.4366,4.31764,0.000792237,0.000792237,0.000792237
3,204.277,2.95112,30.6938,3.43098,0.00133,0.36364,0.00522,0.00074,3.96543,54.0664,3.67361,0.00118169,0.00118169,0.00118169
4,271.254,2.99197,25.4647,3.27931,0.0015,0.40909,0.00461,0.00064,3.81097,45.9475,4.38394,0.00156587,0.00156587,0.00156587
5,338.502,3.00666,23.0212,3.19398,0.00175,0.47727,0.02483,0.00398,3.76269,37.5762,3.98322,0.00194477,0.00194477,0.00194477
6,405.78,2.87857,18.0832,3.18608,0.00075,0.20455,0.00163,0.00033,3.9565,30.44,3.79621,0.001934,0.001934,0.001934
