epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.6112,1.65158,4.20549,1.5792,0.83333,0.11364,0.48317,0.07868,2.7287,4.38269,2.23314,0.000199375,0.000199375,0.0802619
2,114.846,1.78314,3.23862,1.61474,0.09184,0.13636,0.04529,0.00729,3.47301,6.76299,2.86721,0.000397728,0.000397728,0.0604602
3,171.736,1.76864,2.37028,1.58502,0.01527,0.20455,0.00689,0.00123,3.69201,6.64525,2.87763,0.00059443,0.00059443,0.0406569
4,228.634,1.80531,2.15121,1.56234,0.0023,0.06818,0.00074,0.00012,4.3533,10.9807,2.92813,0.000789483,0.000789483,0.020852
5,285.619,1.88311,2.11968,1.56628,0.05402,0.15909,0.02284,0.00375,3.219,9.77898,2.71896,0.000982885,0.000982885,0.00104539
6,342.563,1.72464,1.89878,1.50009,0.10669,0.27273,0.0651,0.0085,3.01398,13.5746,2.61127,0.000979375,0.000979375,0.000979375
7,399.854,1.79315,2.00033,1.50469,0.13281,0.18182,0.06053,0.01086,2.94619,7.08668,2.39361,0.00097525,0.00097525,0.00097525
8,459.643,1.68819,1.89995,1.43234,0.16837,0.36364,0.10018,0.01882,3.15897,3.42837,2.34553,0.000971125,0.000971125,0.000971125
9,517.173,1.76265,1.99206,1.49877,0.10077,0.04545,0.01097,0.00173,4.30261,3.44776,3.46036,0.000967,0.000967,0.000967
10,574.654,1.67194,1.86008,1.4014,0.06139,0.09091,0.01635,0.00213,3.85611,11.9186,2.93846,0.000962875,0.000962875,0.000962875
11,632.61,1.85531,2.00043,1.52488,0.00619,0.02273,0.01612,0.00199,4.00021,44.3547,3.17101,0.00095875,0.00095875,0.00095875
12,690.026,1.77332,1.7953,1.41855,0.02524,0.04545,0.00731,0.00098,4.24717,3.96555,3.07753,0.000954625,0.000954625,0.000954625
13,746.372,1.70403,1.81148,1.43422,0.21435,0.06818,0.06643,0.00673,4.02832,12.6856,2.88124,0.0009505,0.0009505,0.0009505
14,803.156,1.65529,1.73078,1.41488,0.02806,0.38636,0.01953,0.00502,2.87912,9.49781,2.29324,0.000946375,0.000946375,0.000946375
15,859.802,1.66128,1.78948,1.3675,0.13793,0.1274,0.02784,0.00548,3.72026,7.3477,2.63304,0.00094225,0.00094225,0.00094225
16,917.32,1.7687,1.86389,1.45603,0.09598,0.25,0.08327,0.01343,3.04518,22.0008,2.35091,0.000938125,0.000938125,0.000938125
17,974.157,1.6589,1.67321,1.3815,0.03047,0.45455,0.02082,0.00321,3.38743,5.97881,2.52347,0.000934,0.000934,0.000934
18,1031.25,1.61042,1.64131,1.36172,0.18651,0.5,0.19343,0.03332,2.603,10.4624,2.0962,0.000929875,0.000929875,0.000929875
19,1087.79,1.62133,1.60519,1.3648,0.1025,0.38636,0.06698,0.01024,3.06999,17.7249,2.37019,0.00092575,0.00092575,0.00092575
20,1144.44,1.54709,1.61996,1.28415,0.23096,0.5,0.16794,0.04392,2.41536,9.45345,1.97873,0.000921625,0.000921625,0.000921625
21,1201.14,1.52924,1.52761,1.28328,0.1486,0.38636,0.14142,0.02587,2.92333,5.53624,2.28878,0.0009175,0.0009175,0.0009175
22,1258.07,1.4676,1.5158,1.23895,0.09311,0.34091,0.06016,0.01285,3.00049,12.3472,2.31665,0.000913375,0.000913375,0.000913375
23,1315.32,1.54623,1.59985,1.27354,0.14689,0.15909,0.11218,0.0266,2.64467,10.5394,2.05659,0.00090925,0.00090925,0.00090925
24,1372.01,1.56348,1.58977,1.29127,0.00331,0.09091,0.00103,0.00024,4.25457,11.6065,2.82273,0.000905125,0.000905125,0.000905125
25,1428.34,1.56271,1.59101,1.29633,0.21736,0.31818,0.13484,0.02334,3.04519,6.99967,2.17827,0.000901,0.000901,0.000901
26,1485.15,1.51391,1.55329,1.27631,0.04253,0.47727,0.02553,0.00401,3.40475,7.90874,2.47068,0.000896875,0.000896875,0.000896875
27,1541.96,1.40119,1.45148,1.21135,0.04403,0.63636,0.03595,0.00722,2.89034,56.7488,2.33286,0.00089275,0.00089275,0.00089275
28,1599.05,1.44168,1.54555,1.25877,0.06803,0.59091,0.12079,0.0161,2.98384,42.2637,2.49832,0.000888625,0.000888625,0.000888625
