epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1939.23,1.80441,1.96125,1.53348,0.54239,0.68182,0.58188,0.22334,2.01332,6.58457,1.9779,0.000830875,0.000830875,0.000830875
43,1985.63,1.74069,1.80451,1.48125,0.52946,0.65909,0.62732,0.21791,2.32284,8.80882,2.00037,0.00082675,0.00082675,0.00082675
44,2031.44,1.65956,1.77981,1.46138,0.31372,0.65909,0.38656,0.145,2.32093,11.029,2.01339,0.000822625,0.000822625,0.000822625
45,2076.97,1.7171,1.81138,1.50351,0.58587,0.61364,0.58545,0.19396,2.39649,6.37919,2.13006,0.0008185,0.0008185,0.0008185
46,2122.84,1.67898,1.70072,1.4605,0.41178,0.63636,0.44052,0.15019,2.19047,7.35853,2.09049,0.000814375,0.000814375,0.000814375
47,2168.95,1.67956,1.70521,1.50759,0.32908,0.56818,0.48852,0.20091,2.15881,7.34596,2.04497,0.00081025,0.00081025,0.00081025
48,2214.82,1.74386,1.7644,1.41874,0.21469,0.59091,0.42273,0.14978,2.07213,12.3319,1.99876,0.000806125,0.000806125,0.000806125
49,2260.83,1.85295,1.84956,1.56357,0.47688,0.59091,0.42003,0.15574,2.23324,4.47162,2.0442,0.000802,0.000802,0.000802
50,2306.97,1.70505,1.72993,1.48827,0.27699,0.63636,0.47514,0.20441,1.97838,10.7585,1.95719,0.000797875,0.000797875,0.000797875
51,2353.16,1.72491,1.57304,1.49139,0.52782,0.56818,0.38844,0.16391,2.12681,2.86624,2.08974,0.00079375,0.00079375,0.00079375
52,2399.37,1.64117,1.65917,1.48732,0.22405,0.65909,0.59559,0.27547,1.9002,12.9496,1.91402,0.000789625,0.000789625,0.000789625
53,2445.18,1.59071,1.65842,1.36276,0.48877,0.65909,0.6207,0.25942,1.99752,8.97191,1.95997,0.0007855,0.0007855,0.0007855
54,2490.86,1.75865,1.81316,1.48464,0.38972,0.59091,0.44414,0.14342,2.04614,6.87728,2.06208,0.000781375,0.000781375,0.000781375
55,2537.28,1.82279,1.72538,1.54671,0.55203,0.63636,0.58055,0.20114,2.25632,4.5079,2.02799,0.00077725,0.00077725,0.00077725
56,2583.59,1.55151,1.57056,1.41207,0.67683,0.6665,0.64046,0.26818,2.07782,4.66639,1.93659,0.000773125,0.000773125,0.000773125
57,2629.68,1.62451,1.58399,1.45451,0.72553,0.61364,0.59233,0.21386,2.1335,3.25734,2.08624,0.000769,0.000769,0.000769
58,2676.02,1.67559,1.69406,1.43425,0.58318,0.59091,0.50628,0.17958,2.31813,4.12998,2.1999,0.000764875,0.000764875,0.000764875
59,2722.01,1.6971,1.60784,1.43119,0.45939,0.56017,0.37632,0.10789,2.71207,2.34802,2.3066,0.00076075,0.00076075,0.00076075
60,2768.09,1.65126,1.67512,1.45807,0.74964,0.52273,0.60944,0.2491,2.24397,3.82071,2.05188,0.000756625,0.000756625,0.000756625
61,2813.95,1.53767,1.55977,1.33809,0.8109,0.59091,0.61034,0.26259,2.24736,3.04227,2.14357,0.0007525,0.0007525,0.0007525
62,2859.74,1.61197,1.58086,1.419,0.50155,0.43182,0.39919,0.1464,2.38669,3.27165,2.2803,0.000748375,0.000748375,0.000748375
63,2905.78,1.62466,1.64016,1.40231,0.39544,0.63636,0.48454,0.1561,2.09369,7.51352,1.95861,0.00074425,0.00074425,0.00074425
64,2951.66,1.58987,1.4905,1.44015,0.50065,0.59091,0.43304,0.15918,2.18726,3.51796,2.03205,0.000740125,0.000740125,0.000740125
65,2997.75,1.65885,1.6086,1.40709,0.57374,0.54545,0.49025,0.16376,2.13619,5.24453,2.01991,0.000736,0.000736,0.000736
66,3043.83,1.52047,1.50204,1.3509,0.509,0.56818,0.55874,0.24587,2.17207,6.65306,1.99703,0.000731875,0.000731875,0.000731875
67,3089.77,1.56133,1.53585,1.41763,0.68668,0.45455,0.55584,0.27004,2.21679,3.60605,1.99055,0.00072775,0.00072775,0.00072775
68,3136.05,1.62788,1.60609,1.42165,0.30984,0.59091,0.4575,0.19455,2.16845,8.6505,1.93327,0.000723625,0.000723625,0.000723625
69,3181.76,1.47453,1.58517,1.36061,0.40032,0.54545,0.4773,0.22137,2.18203,6.64579,1.89202,0.0007195,0.0007195,0.0007195
70,3227.69,1.61682,1.56149,1.33047,0.74898,0.61364,0.65653,0.27224,2.05609,4.34118,1.85792,0.000715375,0.000715375,0.000715375
71,3273.62,1.61834,1.64201,1.46604,0.40531,0.56818,0.53568,0.20863,2.09241,8.16814,1.95003,0.00071125,0.00071125,0.00071125
72,3319.79,1.61957,1.54641,1.42626,0.51175,0.65909,0.64696,0.28479,1.96594,8.10472,1.82893,0.000707125,0.000707125,0.000707125
73,3366.13,1.57949,1.60512,1.36389,0.62291,0.56818,0.58276,0.24321,2.35322,2.54882,2.07845,0.000703,0.000703,0.000703
74,3412.4,1.6386,1.57794,1.38972,0.60246,0.56818,0.6056,0.25922,2.25307,3.21578,2.01645,0.000698875,0.000698875,0.000698875
75,3458.39,1.55882,1.56839,1.35845,0.37864,0.60943,0.39679,0.15081,2.40102,3.61843,2.2136,0.00069475,0.00069475,0.00069475
76,3504.68,1.59102,1.53171,1.38742,0.62899,0.53955,0.53349,0.19609,2.37681,3.57239,2.20945,0.000690625,0.000690625,0.000690625
77,3550.65,1.62098,1.46513,1.32639,0.63251,0.59091,0.5493,0.15711,2.52738,4.25769,2.26758,0.0006865,0.0006865,0.0006865
78,3596.81,1.63395,1.57453,1.44146,0.49541,0.52273,0.44704,0.17829,2.36284,2.97534,2.14723,0.000682375,0.000682375,0.000682375
79,3643.31,1.50619,1.52899,1.31676,0.57117,0.56818,0.50341,0.18544,2.43084,4.94154,2.17419,0.00067825,0.00067825,0.00067825
80,3689.33,1.38146,1.29535,1.26953,0.57665,0.52273,0.54747,0.25363,2.39644,3.55641,2.13477,0.000674125,0.000674125,0.000674125
81,3735.52,1.51684,1.46354,1.35314,0.63687,0.65909,0.62201,0.27634,2.05124,7.53807,1.94479,0.00067,0.00067,0.00067
82,3781.88,1.51759,1.46423,1.3009,0.48851,0.65909,0.63669,0.27361,2.04571,8.20382,1.89624,0.000665875,0.000665875,0.000665875
83,3827.86,1.55144,1.37867,1.38451,0.61512,0.56818,0.56266,0.19773,2.28005,4.62506,2.06383,0.00066175,0.00066175,0.00066175
