epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2982,2.35587,51.2913,2.38971,0.00208,0.56818,0.05391,0.0134,2.69981,20.1116,2.88857,0.000658333,0.000658333,0.000658333
2,87.6289,2.68646,33.8708,2.54586,0.09864,0.11364,0.03694,0.0046,3.9046,14.4038,5.08403,0.00131407,0.00131407,0.00131407
3,127.2,2.98218,35.0037,2.74267,0.02182,0.34091,0.01156,0.00351,3.4119,17.9523,9.50266,0.0019588,0.0019588,0.0019588
4,166.845,3.04977,31.3769,2.79245,0,0,0,0,6.13683,17.4507,11.8415,0.0019505,0.0019505,0.0019505
5,206.586,3.31295,24.1866,2.92933,0.00183,0.5,0.00155,0.00023,3.33173,5.34714,3.50903,0.001934,0.001934,0.001934
6,246.185,3.14657,20.2171,2.88767,0,0,0,0,2.49613,6.98372,14.1845,0.0019175,0.0019175,0.0019175
7,286.313,3.04697,16.4814,2.75842,0.00233,0.63636,0.12285,0.02142,3.15848,4.59414,3.36281,0.001901,0.001901,0.001901
8,327.02,3.02445,14.1944,2.89521,0.00258,0.70455,0.01314,0.0046,2.32418,5.89645,4.29083,0.0018845,0.0018845,0.0018845
9,365.479,3.0064,10.8804,2.83539,0.00217,0.59091,0.02336,0.00524,2.80353,3.72012,3.02476,0.001868,0.001868,0.001868
10,404.015,2.75092,9.60408,2.76022,0,0,0,0,4.88661,5.10328,7.155,0.0018515,0.0018515,0.0018515
11,442.646,2.8904,7.85577,2.80956,0.0733,0.02273,0.01177,0.00158,3.57827,3.81929,3.49241,0.001835,0.001835,0.001835
12,481.693,2.76082,6.78971,2.74763,0.05197,0.04545,0.05087,0.01224,2.1294,3.22903,3.61497,0.0018185,0.0018185,0.0018185
13,520.485,2.67618,5.81442,2.77873,0.00298,0.68182,0.01466,0.00404,1.82548,4.15825,4.61295,0.001802,0.001802,0.001802
14,559.264,2.76229,5.5017,2.99752,0.00305,0.68182,0.00625,0.00262,1.83534,6.48962,3.68096,0.0017855,0.0017855,0.0017855
15,598.366,2.71328,5.21867,2.67135,0.01592,0.02273,0.00377,0.00069,3.30234,3.6705,3.26068,0.001769,0.001769,0.001769
16,637.538,2.9043,5.13568,2.77554,0.53842,0.02273,0.02573,0.00262,4.12142,3.62435,5.35749,0.0017525,0.0017525,0.0017525
17,676.402,2.7397,4.65449,2.6705,0.01192,0.02273,0.00411,0.0008,3.31739,3.66877,3.78001,0.001736,0.001736,0.001736
18,715.363,2.77142,4.41257,2.72888,0.02274,0.02273,0.00509,0.00102,2.63921,4.58746,4.03017,0.0017195,0.0017195,0.0017195
19,754.057,2.68902,4.28469,2.57194,0.00577,0.65909,0.03068,0.00603,2.12765,4.49923,2.80137,0.001703,0.001703,0.001703
20,792.25,2.67211,3.86441,2.67982,0.0264,0.15909,0.01245,0.00184,3.53703,3.58033,3.47678,0.0016865,0.0016865,0.0016865
21,830.649,2.71187,3.77027,2.66656,0.05842,0.22727,0.02271,0.00389,3.49568,3.18614,3.90527,0.00167,0.00167,0.00167
22,869.404,2.64307,3.68653,2.59846,0.04033,0.29545,0.02741,0.00453,3.36382,2.96514,3.1189,0.0016535,0.0016535,0.0016535
23,907.727,2.69489,3.65911,2.57422,0.08245,0.04545,0.01497,0.0024,3.36882,2.87031,3.31095,0.001637,0.001637,0.001637
24,946.172,2.57937,3.66975,2.45813,0.2784,0.20455,0.20345,0.03413,2.90517,3.64499,3.69227,0.0016205,0.0016205,0.0016205
25,984.646,2.62865,3.40534,2.44581,0.02937,0.36364,0.02508,0.00417,3.41899,4.14329,2.99134,0.001604,0.001604,0.001604
26,1023.02,2.50075,3.24319,2.40419,0.13514,0.38636,0.09242,0.02089,2.7661,2.74552,3.48028,0.0015875,0.0015875,0.0015875
27,1061.35,2.59687,3.30136,2.47373,0.15595,0.20455,0.12392,0.03435,2.79278,2.60388,3.05367,0.001571,0.001571,0.001571
28,1099.71,2.63528,3.40424,2.45744,0.02198,0.18182,0.01451,0.0026,3.74296,3.54286,3.98864,0.0015545,0.0015545,0.0015545
29,1138.79,2.61666,3.07817,2.49856,0.19174,0.38636,0.11479,0.02583,2.89683,3.55158,3.07531,0.001538,0.001538,0.001538
30,1178.12,2.35995,3.17059,2.35821,0.07456,0.54545,0.05734,0.00845,3.2907,3.09288,3.02139,0.0015215,0.0015215,0.0015215
31,1217.25,2.47644,2.9952,2.36354,0.01319,0.56818,0.06485,0.00944,3.16879,2.80975,2.88458,0.001505,0.001505,0.001505
32,1256.06,2.42313,3.06946,2.31743,0.09321,0.25,0.0656,0.01214,2.81136,3.02858,3.45881,0.0014885,0.0014885,0.0014885
33,1295.1,2.41392,2.94481,2.40893,0.07912,0.54545,0.06163,0.00984,3.34466,2.66829,2.92033,0.001472,0.001472,0.001472
34,1334.14,2.47896,2.96552,2.38248,0.10213,0.15909,0.0616,0.01025,3.17461,3.95644,2.97857,0.0014555,0.0014555,0.0014555
35,1372.91,2.43613,2.78981,2.31878,0.1102,0.63636,0.15142,0.03172,2.74766,3.82706,2.91854,0.001439,0.001439,0.001439
36,1411.9,2.26626,2.70288,2.27897,0.12977,0.52273,0.14738,0.02372,2.91684,2.72416,2.79192,0.0014225,0.0014225,0.0014225
37,1450.73,2.37717,2.70305,2.25456,0.07155,0.42915,0.07338,0.01164,3.30629,4.33468,3.10445,0.001406,0.001406,0.001406
38,1489.39,2.21744,2.57446,2.27644,0.26327,0.04545,0.02745,0.00955,2.75249,3.99851,2.70556,0.0013895,0.0013895,0.0013895
39,1528.49,2.38636,2.82661,2.35459,0.23381,0.06818,0.05491,0.0139,3.32141,2.97864,3.49109,0.001373,0.001373,0.001373
40,1567.19,2.60223,3.13651,2.46885,0.04342,0.31818,0.03391,0.0074,2.94437,2.799,3.15596,0.0013565,0.0013565,0.0013565
41,1606.11,2.54131,3.03756,2.45365,0.05038,0.75,0.09767,0.02215,2.61462,2.93708,2.72842,0.00134,0.00134,0.00134
