epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,894.986,2.57278,2.77267,2.83712,0.00497,0.52273,0.00867,0.00199,3.27676,3.60421,3.1201,0.00410262,0.00410262,0.00410262
44,915.36,2.53698,2.7356,2.74779,0.36561,0.27512,0.21771,0.07771,2.76394,2.43523,2.74904,0.00406234,0.00406234,0.00406234
45,935.956,2.4935,2.67611,2.66908,0.59271,0.40909,0.38532,0.09883,2.73189,2.1627,2.73142,0.00402138,0.00402138,0.00402138
46,956.655,2.44347,2.51762,2.68773,0.43403,0.38636,0.31595,0.08146,2.82874,2.27718,2.79567,0.00397977,0.00397977,0.00397977
47,976.961,2.38587,2.50372,2.65051,0.52289,0.29545,0.28452,0.07148,3.01046,3.5966,2.87229,0.00393752,0.00393752,0.00393752
48,997.504,2.41882,2.52164,2.6696,0.46611,0.47727,0.34461,0.10675,2.57663,3.61064,2.56807,0.00389464,0.00389464,0.00389464
49,1017.84,2.35158,2.46905,2.56119,0.62401,0.36364,0.36089,0.11657,2.6789,2.141,2.57289,0.00385117,0.00385117,0.00385117
50,1038.12,2.33527,2.49668,2.54727,0.39522,0.38636,0.24369,0.10121,2.53297,2.23642,2.47055,0.00380712,0.00380712,0.00380712
51,1058.59,2.4346,2.44342,2.56149,0.33522,0.33247,0.17069,0.05979,2.51515,2.64064,2.52759,0.0037625,0.0037625,0.0037625
52,1078.98,2.43144,2.49338,2.62712,0.33157,0.38336,0.19096,0.0717,2.37848,2.33849,2.50722,0.00371734,0.00371734,0.00371734
53,1099.31,2.35318,2.52855,2.6125,0.31352,0.38636,0.18763,0.06381,2.30954,2.51656,2.42146,0.00367166,0.00367166,0.00367166
54,1120.05,2.25094,2.20101,2.45193,0.43314,0.45455,0.30863,0.09353,2.5568,3.03482,2.56927,0.00362547,0.00362547,0.00362547
55,1140.58,2.2773,2.4258,2.49535,0.51897,0.41697,0.40954,0.12296,2.62115,2.31563,2.62149,0.0035788,0.0035788,0.0035788
56,1160.91,2.39841,2.44806,2.52835,0.52915,0.47727,0.33745,0.14362,2.29095,2.62967,2.31268,0.00353167,0.00353167,0.00353167
57,1181.53,2.2507,2.35751,2.44429,0.40726,0.29545,0.24619,0.12215,2.29742,2.35994,2.30697,0.0034841,0.0034841,0.0034841
58,1202.14,2.28026,2.28355,2.42387,0.17079,0.15909,0.1172,0.04354,2.41446,2.67545,2.31335,0.00343611,0.00343611,0.00343611
59,1222.3,2.31893,2.37176,2.5173,0.27054,0.27273,0.19514,0.07444,2.4676,2.26971,2.3483,0.00338772,0.00338772,0.00338772
60,1242.98,2.23829,2.28859,2.4645,0.47343,0.36791,0.35071,0.15166,2.353,2.17551,2.2432,0.00333894,0.00333894,0.00333894
61,1263.33,2.2795,2.2664,2.44388,0.45183,0.43182,0.31847,0.13554,2.28083,2.07182,2.20408,0.00328982,0.00328982,0.00328982
62,1283.63,2.16859,2.24994,2.33347,0.54004,0.47727,0.3579,0.15328,2.37437,1.91577,2.35486,0.00324035,0.00324035,0.00324035
63,1304.16,2.28328,2.31001,2.33155,0.47578,0.43321,0.34204,0.17008,2.26615,1.88863,2.25903,0.00319058,0.00319058,0.00319058
64,1324.77,2.21113,2.29361,2.32325,0.53385,0.46864,0.28853,0.14041,2.16655,2.00115,2.21583,0.00314051,0.00314051,0.00314051
65,1345.03,2.22286,2.34251,2.41554,0.19052,0.29545,0.13752,0.06122,2.34343,3.46619,2.26385,0.00309017,0.00309017,0.00309017
66,1365.56,2.12832,2.16054,2.27814,0.3581,0.38636,0.2145,0.09594,2.2566,2.2624,2.23644,0.00303958,0.00303958,0.00303958
67,1385.97,2.09813,2.15687,2.2853,0.49144,0.47727,0.28433,0.0958,2.56982,2.29416,2.29403,0.00298877,0.00298877,0.00298877
68,1406.49,2.11156,2.10511,2.33879,0.63548,0.47551,0.38804,0.17598,2.2462,1.95522,2.1386,0.00293775,0.00293775,0.00293775
69,1426.93,2.10817,2.12176,2.3326,0.60933,0.43182,0.42422,0.19487,2.33761,1.9389,2.21941,0.00288656,0.00288656,0.00288656
70,1447.43,2.1501,2.15139,2.32016,0.76186,0.4364,0.47409,0.22828,2.33189,1.76388,2.22377,0.0028352,0.0028352,0.0028352
71,1467.68,2.20442,2.2232,2.35436,0.74504,0.29545,0.38987,0.17813,2.31555,2.11052,2.31919,0.00278371,0.00278371,0.00278371
72,1488.27,2.11279,2.10141,2.2554,0.48697,0.40909,0.37552,0.19763,2.27369,2.00524,2.27212,0.0027321,0.0027321,0.0027321
73,1508.72,2.06987,2.18959,2.30543,0.49381,0.34091,0.34515,0.1533,2.37766,2.24551,2.31726,0.00268041,0.00268041,0.00268041
74,1528.98,1.96607,1.92225,2.14461,0.77326,0.31032,0.39772,0.20743,2.19166,1.91155,2.15992,0.00262864,0.00262864,0.00262864
75,1550.11,2.09725,2.0276,2.1559,0.73597,0.40909,0.45109,0.22613,2.25054,1.79625,2.14696,0.00257683,0.00257683,0.00257683
76,1570.57,2.09281,2.17161,2.23147,0.69559,0.43182,0.46317,0.26989,2.16292,2.05299,2.23633,0.002525,0.002525,0.002525
77,1591.52,2.00689,2.03625,2.15988,0.73523,0.47727,0.51752,0.25475,2.24977,1.73242,2.21609,0.00247317,0.00247317,0.00247317
78,1612.25,1.97658,2.00854,2.15871,0.60801,0.52273,0.50883,0.24741,2.2852,1.68183,2.18583,0.00242136,0.00242136,0.00242136
79,1632.51,2.06437,1.99211,2.17071,0.8245,0.47727,0.5508,0.2865,2.31999,1.62853,2.27428,0.00236959,0.00236959,0.00236959
80,1653.21,2.04963,2.03162,2.27119,0.78406,0.43182,0.47956,0.25267,2.23656,1.79289,2.11861,0.0023179,0.0023179,0.0023179
