epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.4868,2.55453,72.1621,2.52876,0.00158,0.43182,0.05289,0.00621,3.51687,28.2807,3.84851,0.000658333,0.000658333,0.000658333
2,126.034,2.6838,39.2171,2.75351,0.00233,0.63636,0.02235,0.00386,2.8127,14.976,3.95932,0.00131953,0.00131953,0.00131953
3,177.216,2.96285,39.1607,2.75002,0.00083,0.22727,0.0007,0.00013,4.12928,16.3317,17.8972,0.00197524,0.00197524,0.00197524
4,226.13,2.90845,38.0576,2.90772,0.001,0.27273,0.00109,0.00018,4.10117,18.3188,4.88671,0.00197525,0.00197525,0.00197525
5,274.545,2.99428,26.4227,2.89371,0.00017,0.04545,0.0001,1e-05,4.75118,8.46897,4.56494,0.001967,0.001967,0.001967
6,323.337,3.00169,21.3326,2.9181,0.00142,0.38636,0.00105,0.00024,2.30323,7.48783,2.89476,0.00195875,0.00195875,0.00195875
7,371.779,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0019505,0.0019505,0.0019505
8,420.324,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00194225,0.00194225,0.00194225
9,468.471,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001934,0.001934,0.001934
10,516.569,3.19299,18.1843,2.99762,0,0,0,0,nan,nan,nan,0.00192575,0.00192575,0.00192575
11,564.685,3.14246,11.7373,2.89251,0,0,0,0,nan,nan,nan,0.0019175,0.0019175,0.0019175
12,612.52,2.94012,10.0097,2.79891,0,0,0,0,nan,nan,nan,0.00190925,0.00190925,0.00190925
13,660.511,3.02145,7.8591,2.94821,0,0,0,0,nan,nan,nan,0.001901,0.001901,0.001901
14,708.676,2.96827,6.81258,3.16941,0,0,0,0,nan,nan,nan,0.00189275,0.00189275,0.00189275
15,759.669,3.01614,7.11361,2.93742,0,0,0,0,nan,nan,nan,0.0018845,0.0018845,0.0018845
16,810.938,3.00608,5.891,2.96639,0,0,0,0,nan,nan,nan,0.00187625,0.00187625,0.00187625
17,859.324,2.88454,5.26592,2.74651,0,0,0,0,nan,nan,nan,0.001868,0.001868,0.001868
18,907.735,2.70795,4.55267,2.67424,0,0,0,0,nan,nan,nan,0.00185975,0.00185975,0.00185975
19,955.946,2.84864,4.59789,2.64427,0,0,0,0,nan,nan,nan,0.0018515,0.0018515,0.0018515
20,1003.78,2.7827,4.3359,2.72532,0,0,0,0,nan,nan,nan,0.00184325,0.00184325,0.00184325
21,4198.2,2.78992,3.89029,2.64512,0,0,0,0,nan,nan,nan,0.001835,0.001835,0.001835
22,4247.42,2.78083,3.72846,2.69682,0,0,0,0,nan,nan,nan,0.00182675,0.00182675,0.00182675
23,4295.77,2.83375,3.69052,2.67835,0,0,0,0,nan,nan,nan,0.0018185,0.0018185,0.0018185
24,4343.92,2.80362,3.55218,2.60155,0,0,0,0,nan,nan,nan,0.00181025,0.00181025,0.00181025
25,4392.36,2.89893,3.41663,2.5488,0,0,0,0,nan,nan,nan,0.001802,0.001802,0.001802
26,4441.1,2.65166,3.1891,2.45072,0,0,0,0,nan,nan,nan,0.00179375,0.00179375,0.00179375
