epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3577,3.20844,12.7535,4.41963,0.00125,0.20455,0.00081,0.00011,4.15436,3.91374,4.14082,0.000975,0.000975,0.081475
2,51.2695,3.31986,6.12907,4.22289,0,0,0,0,4.12094,3.67559,4.12472,0.00197479,0.00197479,0.0624748
3,71.8944,3.10682,5.09604,4.19776,0,0,0,0,4.08879,3.79276,4.10678,0.00297371,0.00297371,0.0434737
