epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,129.052,0.82391,0.80115,0.97057,0.58846,0.17647,0.16846,0.10766,1.13025,1.51334,0.75886,0.0014588,0.0014588,0.0014588
43,131.915,0.76795,0.8166,0.94538,0.63054,0.17647,0.16841,0.11789,1.11768,1.65243,0.75305,0.0014456,0.0014456,0.0014456
44,134.857,0.81557,0.79054,0.9637,0.68584,0.20588,0.21411,0.14228,0.98027,1.36637,0.68126,0.0014324,0.0014324,0.0014324
45,137.858,0.88895,0.81094,0.95271,0.69627,0.20259,0.22156,0.15075,0.89893,1.11154,0.6548,0.0014192,0.0014192,0.0014192
46,140.814,0.92557,0.89061,0.96926,0.74162,0.20588,0.21461,0.11386,1.04729,1.48806,0.65604,0.001406,0.001406,0.001406
47,143.731,0.79879,0.81207,0.94686,0.56226,0.20588,0.20719,0.1253,1.04032,1.50748,0.66654,0.0013928,0.0013928,0.0013928
48,146.705,0.86341,0.83016,1.00381,0.50799,0.14706,0.13777,0.10307,1.04273,1.87202,0.62353,0.0013796,0.0013796,0.0013796
49,149.773,0.83121,0.80558,0.97612,0.51163,0.14706,0.14747,0.09694,0.96226,1.51417,0.62196,0.0013664,0.0013664,0.0013664
50,152.688,0.84162,0.86534,0.967,0.39753,0.29121,0.18253,0.10434,1.0878,1.47632,0.6716,0.0013532,0.0013532,0.0013532
51,155.682,0.8549,0.79486,0.92535,0.55637,0.29412,0.20115,0.08968,1.27825,1.87904,0.77293,0.00134,0.00134,0.00134
52,158.597,0.817,0.82697,0.98823,0.24392,0.14706,0.11249,0.06179,1.39009,2.3698,0.78727,0.0013268,0.0013268,0.0013268
53,161.328,0.80148,0.7881,0.9649,0.36774,0.14706,0.11289,0.09044,1.23175,2.23681,0.73509,0.0013136,0.0013136,0.0013136
54,164.25,0.80092,0.77249,0.90759,0.57006,0.20588,0.18744,0.11088,1.12824,1.91452,0.71085,0.0013004,0.0013004,0.0013004
55,167.271,0.87683,0.81645,0.9843,0.60173,0.23529,0.20729,0.11333,1.11746,2.50255,0.69299,0.0012872,0.0012872,0.0012872
