epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.4885,2.75088,24.3427,2.76159,0.01573,0.47727,0.04163,0.00926,3.38713,3.28612,4.6277,0.000658333,0.000658333,0.0677417
2,113.746,2.88996,4.21757,2.89994,0.01488,0.04545,0.00515,0.00071,3.95167,5.91872,4.26354,0.00131953,0.00131953,0.0350695
3,162.311,3.00541,3.88285,2.79501,0.00886,0.13636,0.00282,0.00037,4.17216,263.621,6.0061,0.00197524,0.00197524,0.0023919
4,210.718,2.99675,3.90363,2.84544,0.00117,0.02273,8e-05,1e-05,4.81768,19.9734,11.4086,0.00197525,0.00197525,0.00197525
5,259.051,3.05212,3.79197,2.81214,0.0008,0.06818,0.00028,4e-05,4.51709,11.2151,3.53613,0.001967,0.001967,0.001967
6,307.935,2.96454,3.84175,2.83838,0,0,0,0,5.97816,11.0845,8.37765,0.00195875,0.00195875,0.00195875
